team_id,player_id,player_name,position,minutes_played,goals_scored,minutes_per_goal
33,153434,W. Fish,Defender,0,0,
33,889,V. Lindelöf,Defender,693,0,
33,284324,A. Garnacho,Attacker,2196,6,366.0
33,402329,A. Heaven,Defender,170,0,
33,2931,T. Heaton,Goalkeeper,0,0,
33,37145,T. Malacia,Defender,101,0,
33,2935,H. Maguire,Defender,1764,1,1764.0
33,532,M. de Ligt,Defender,2128,2,1064.0
33,891,L. Shaw,Defender,348,0,
33,342970,L. Yoro,Defender,1169,0,
33,382452,P. Dorgu,Defender,842,0,
33,886,Diogo Dalot,Defender,2814,0,
33,2467,Lisandro Martínez,Defender,1754,2,877.0
33,1485,Bruno Fernandes,Midfielder,3024,8,378.0
33,19220,M. Mount,Midfielder,625,1,625.0
33,284322,K. Mainoo,Midfielder,1656,0,
33,51494,M. Ugarte,Midfielder,1796,1,1796.0
33,18,J. Sancho,Attacker,0,0,
33,157997,A. Diallo,Attacker,1901,8,237.6
33,70100,J. Zirkzee,Attacker,1406,3,468.7
33,9971,Antony,Attacker,133,0,
33,288006,R. Højlund,Attacker,2022,4,505.5
33,1165,Matheus Cunha,Attacker,2600,15,173.3
33,284400,Tobias Christopher Collyer,Midfielder,175,0,
34,383685,Y. Minteh,Attacker,0,0,
34,138908,E. Anderson,Midfielder,0,0,
34,18873,R. Fraser,Midfielder,0,0,
34,2864,A. Isak,Attacker,2769,23,120.4
34,18911,N. Pope,Goalkeeper,2520,0,
34,18941,M. Targett,Defender,20,0,
34,169,K. Trippier,Defender,1310,0,
34,2855,E. Krafth,Defender,349,0,
34,18894,J. Lascelles,Defender,0,0,
34,284492,L. Hall,Defender,2192,0,
34,38734,S. Botman,Defender,418,0,
34,18961,D. Burn,Defender,3330,1,3330.0
34,2806,F. Schär,Defender,2937,4,734.2
34,31146,S. Tonali,Midfielder,2631,4,657.8
34,328105,L. Miley,Midfielder,324,1,324.0
34,723,Joelinton,Midfielder,2404,4,601.0
34,18778,H. Barnes,Midfielder,1766,9,196.2
34,19163,J. Murphy,Midfielder,2379,8,297.4
34,19192,J. Ramsey,Midfielder,1628,1,1628.0
34,1463,J. Willock,Midfielder,1075,0,
34,138787,A. Gordon,Attacker,2444,6,407.3
34,18886,M. Dúbravka,Goalkeeper,900,0,
34,2939,C. Wilson,Attacker,368,0,
34,138906,J. White,Midfielder,0,0,
35,284797,D. Ouattara,Attacker,2007,7,286.7
35,2273,Kepa,Goalkeeper,2790,0,
35,18883,D. Solanke,Attacker,0,0,
35,18869,A. Smith,Defender,1597,0,
35,51051,J. Araujo,Defender,516,0,
35,6610,M. Senesi,Defender,1118,0,
35,20093,J. Hill,Defender,448,0,
